[2023-12-12 14:23:30,040] [12892] [MainThread] [INFO] (monailabel.interfaces.utils.app:37) - Initializing App from: /home/zmarinov/repos/AutoPET2-Submission/radiology; studies: /cvhci/data/AutoPET/AutoPET/imagesTs; conf: {'models': 'sw_fastedit'}
[2023-12-12 14:23:31,701] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for MONAILabelApp Found: <class 'main.MyApp'>
[2023-12-12 14:23:31,744] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.deepgrow_2d.Deepgrow2D'>
[2023-12-12 14:23:31,748] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.localization_spine.LocalizationSpine'>
[2023-12-12 14:23:31,751] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.sw_fastedit.SWFastEditConfig'>
[2023-12-12 14:23:31,755] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.deepgrow_3d.Deepgrow3D'>
[2023-12-12 14:23:31,759] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.segmentation.Segmentation'>
[2023-12-12 14:23:31,768] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.deepedit.DeepEdit'>
[2023-12-12 14:23:31,772] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.localization_vertebra.LocalizationVertebra'>
[2023-12-12 14:23:31,776] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.segmentation_spleen.SegmentationSpleen'>
[2023-12-12 14:23:31,780] [12892] [MainThread] [INFO] (monailabel.utils.others.class_utils:57) - Subclass for TaskConfig Found: <class 'lib.configs.segmentation_vertebra.SegmentationVertebra'>
[2023-12-12 14:23:31,781] [12892] [MainThread] [INFO] (main:93) - +++ Adding Model: sw_fastedit => lib.configs.sw_fastedit.SWFastEditConfig
[2023-12-12 14:23:32,181] [12892] [MainThread] [INFO] (main:96) - +++ Using Models: ['sw_fastedit']
[2023-12-12 14:23:32,182] [12892] [MainThread] [INFO] (monailabel.interfaces.app:135) - Init Datastore for: /cvhci/data/AutoPET/AutoPET/imagesTs
[2023-12-12 14:23:32,183] [12892] [MainThread] [INFO] (monailabel.datastore.local:130) - Auto Reload: True; Extensions: ['*.nii.gz', '*.nii', '*.nrrd', '*.jpg', '*.png', '*.tif', '*.svs', '*.xml']
[2023-12-12 14:23:32,299] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_81 => tumor_81.nii.gz
[2023-12-12 14:23:32,300] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_69 => tumor_69.nii.gz
[2023-12-12 14:23:32,301] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_94 => tumor_94.nii.gz
[2023-12-12 14:23:32,302] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_49 => tumor_49.nii.gz
[2023-12-12 14:23:32,302] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_100 => tumor_100.nii.gz
[2023-12-12 14:23:32,303] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_50 => tumor_50.nii.gz
[2023-12-12 14:23:32,304] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_47 => tumor_47.nii.gz
[2023-12-12 14:23:32,304] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_28 => tumor_28.nii.gz
[2023-12-12 14:23:32,305] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_58 => tumor_58.nii.gz
[2023-12-12 14:23:32,306] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_102 => tumor_102.nii.gz
[2023-12-12 14:23:32,306] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_6 => tumor_6.nii.gz
[2023-12-12 14:23:32,307] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_71 => tumor_71.nii.gz
[2023-12-12 14:23:32,308] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_62 => tumor_62.nii.gz
[2023-12-12 14:23:32,308] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_25 => tumor_25.nii.gz
[2023-12-12 14:23:32,309] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_72 => tumor_72.nii.gz
[2023-12-12 14:23:32,309] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_99 => tumor_99.nii.gz
[2023-12-12 14:23:32,310] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_27 => tumor_27.nii.gz
[2023-12-12 14:23:32,310] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_87 => tumor_87.nii.gz
[2023-12-12 14:23:32,311] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_75 => tumor_75.nii.gz
[2023-12-12 14:23:32,311] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_19 => tumor_19.nii.gz
[2023-12-12 14:23:32,312] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_61 => tumor_61.nii.gz
[2023-12-12 14:23:32,312] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_20 => tumor_20.nii.gz
[2023-12-12 14:23:32,313] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_74 => tumor_74.nii.gz
[2023-12-12 14:23:32,314] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_2 => tumor_2.nii.gz
[2023-12-12 14:23:32,314] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_32 => tumor_32.nii.gz
[2023-12-12 14:23:32,315] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_83 => tumor_83.nii.gz
[2023-12-12 14:23:32,316] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_79 => tumor_79.nii.gz
[2023-12-12 14:23:32,316] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_0 => tumor_0.nii.gz
[2023-12-12 14:23:32,317] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_7 => tumor_7.nii.gz
[2023-12-12 14:23:32,317] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_66 => tumor_66.nii.gz
[2023-12-12 14:23:32,318] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_1 => tumor_1.nii.gz
[2023-12-12 14:23:32,319] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_59 => tumor_59.nii.gz
[2023-12-12 14:23:32,319] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_14 => tumor_14.nii.gz
[2023-12-12 14:23:32,320] [12892] [MainThread] [INFO] (monailabel.datastore.local:594) - Adding New Image: tumor_84 => tumor_84.nii.gz
